78:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:2.0 |==> -2.0
79:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:30.0 |==> 0.0
80:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:30.0 |==> -30.0
81:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:2.0 * FastMath.sqrt(30.0) |==> 2.0 % FastMath.sqrt(30.0)
82:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:2.0 * FastMath.sqrt(30.0) |==> 2.0 + FastMath.sqrt(30.0)
83:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:2.0 * FastMath.sqrt(30.0) |==> 2.0 - FastMath.sqrt(30.0)
84:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:2.0 * FastMath.sqrt(30.0) |==> 2.0 / FastMath.sqrt(30.0)
85:AOR:-(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:15.0 - 2.0 * FastMath.sqrt(30.0) |==> 15.0 % (2.0 * FastMath.sqrt(30.0))
86:AOR:-(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:15.0 - 2.0 * FastMath.sqrt(30.0) |==> 15.0 * (2.0 * FastMath.sqrt(30.0))
87:AOR:-(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:15.0 - 2.0 * FastMath.sqrt(30.0) |==> 15.0 + 2.0 * FastMath.sqrt(30.0)
88:AOR:-(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:15.0 - 2.0 * FastMath.sqrt(30.0) |==> 15.0 / (2.0 * FastMath.sqrt(30.0))
89:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:35.0 |==> 0.0
90:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:35.0 |==> -35.0
91:AOR:/(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:(15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 - 2.0 * FastMath.sqrt(30.0)) % 35.0
92:AOR:/(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:(15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 - 2.0 * FastMath.sqrt(30.0)) * 35.0
93:AOR:/(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:(15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 - 2.0 * FastMath.sqrt(30.0)) + 35.0
94:AOR:/(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:87:(15.0 - 2.0 * FastMath.sqrt(30.0)) / 35.0 |==> (15.0 - 2.0 * FastMath.sqrt(30.0)) - 35.0
95:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:15.0 |==> 0.0
96:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:15.0 |==> -15.0
97:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:2.0 |==> 0.0
98:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:2.0 |==> -2.0
99:LVR:POS:0:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:30.0 |==> 0.0
100:LVR:POS:NEG:org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:30.0 |==> -30.0
101:AOR:*(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:2.0 * FastMath.sqrt(30.0) |==> 2.0 % FastMath.sqrt(30.0)
102:AOR:*(double,double):+(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:2.0 * FastMath.sqrt(30.0) |==> 2.0 + FastMath.sqrt(30.0)
103:AOR:*(double,double):-(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:2.0 * FastMath.sqrt(30.0) |==> 2.0 - FastMath.sqrt(30.0)
104:AOR:*(double,double):/(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:2.0 * FastMath.sqrt(30.0) |==> 2.0 / FastMath.sqrt(30.0)
105:AOR:-(double,double):%(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:15.0 - 2.0 * FastMath.sqrt(30.0) |==> 15.0 % (2.0 * FastMath.sqrt(30.0))
106:AOR:-(double,double):*(double,double):org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator:88:15.0 - 2.0 * FastMath.sqrt(30.0) |==> 15.0 * (2.0 * FastMath.sqrt(30.0))
